benchmark_id,hours,controller,ramp95_kw_per_min,cap_violation_pct_total,throughput_kwh
outputs_24h_core_eval,0,FBRL,2.540242651588896,0.0,74.15748123964062
outputs_24h_core_eval,0,GR,9.317549684518905,0.0,4.321279401968584
outputs_24h_core_eval,0,MPC_ref,9.350477760608637,2.3784722222222223,4.5006790639347605
outputs_24h_core_eval,0,NC,9.496111459822174,3.7673611111111107,0.0
outputs_24h_core_eval,0,Proposed,9.323152269934997,0.0,4.731062186988869
outputs_24h_core_eval,0,RS,3.1094626222417086,3.0208333333333335,76.7859832435405
outputs_compact_full,6,FBRL,2.409783002074181,0.0,17.47434131823904
outputs_compact_full,6,GR,9.602083810067546,0.0,0.0078069802759706
outputs_compact_full,6,MPC_best_balanced,9.633404845418124,0.1388888888888889,0.0152811880527313
outputs_compact_full,6,NC,9.63733865876316,0.1388888888888889,0.0
outputs_compact_full,6,Proposed,9.602083810067546,0.0,0.0085366971284981
outputs_compact_full,6,RS,2.9226594207324528,0.0,18.703393790110795
outputs_medium_full,12,FBRL,2.397173508940554,0.0,34.61082355338148
outputs_medium_full,12,GR,9.033668234671568,0.0,0.7278377926904847
outputs_medium_full,12,MPC_best_balanced,9.124440865848085,1.25,0.8022940793067855
outputs_medium_full,12,NC,9.16252101826317,1.8749999999999998,0.0
outputs_medium_full,12,Proposed,9.032893028441366,0.0,0.8052375703616899
outputs_medium_full,12,RS,2.8628266472038435,1.3368055555555556,36.524567621632755
