parameter,value,n_candidates,mean_hold_score_vs_gr,min_hold_score_vs_gr,max_hold_score_vs_gr,mean_hold_rank,mean_hold_cap_delta_vs_gr,mean_hold_throughput_delta_vs_gr,mean_hold_lfp_cycle_loss_delta_vs_gr,mean_hold_idod_delta_vs_gr
base_soft_low,0.32,5,0.06941590248236153,0.05763307947361535,0.08882986154955247,3.5333333333333337,0.0,0.228650966412716,6.39917057811349e-06,-7.918068599022145e-06
base_soft_low,0.34,4,0.20632677888994652,0.1705576520154115,0.22969543120957478,6.333333333333333,0.0,0.3528840476204479,1.3972680796097412e-05,-2.0530839136461626e-05
base_soft_low,0.36,2,0.4241092272092408,0.39280077571184613,0.4554176787066355,9.666666666666666,0.010127314814814815,0.68196985749352,4.378272046243291e-05,7.560674154111826e-05
base_soft_low,0.38,1,0.5235230488034165,0.5235230488034165,0.5235230488034165,11.333333333333334,0.008101851851851851,0.9953912250177321,3.8245310389425686e-05,8.048407008227089e-05
lookahead_gain,0.01,6,0.10496242389264047,0.05763307947361535,0.20096724047817616,3.5,0.0,0.24745959004428075,5.993241772529956e-06,-1.929347077809482e-05
lookahead_gain,0.02,4,0.23385321508189924,0.08882986154955247,0.39280077571184613,7.666666666666666,0.002025462962962963,0.41550991418616245,2.2658734839924742e-05,-4.3728543733792095e-06
lookahead_gain,0.04,2,0.489470363755026,0.4554176787066355,0.5235230488034165,11.0,0.010127314814814815,0.8836623827699048,4.355146869718495e-05,0.00012161804789281798
min_useful_cmd_kw,0.25,7,0.12338956456784811,0.05763307947361535,0.2240867918566236,4.071428571428571,0.0,0.2777988524556412,8.958946715136786e-06,-1.4701680704902918e-05
min_useful_cmd_kw,0.5,5,0.336080235843711,0.07896424478708215,0.5235230488034165,9.033333333333333,0.005671296296296297,0.5939059990721312,3.019694007665822e-05,4.257912371157412e-05
prep_power_cap_kw,3.0,2,0.12930015997589575,0.05763307947361535,0.20096724047817616,3.0,0.0,0.25387502170198833,6.926610687189864e-06,-2.227595418964714e-05
prep_power_cap_kw,4.0,7,0.17777247829975393,0.05947259096818699,0.39280077571184613,6.190476190476191,0.0011574074074074073,0.34449597014578653,1.5350427475263565e-05,-1.0740671459412369e-05
prep_power_cap_kw,5.0,3,0.34704015438114083,0.062179735633370654,0.5235230488034165,8.111111111111112,0.006751543209876543,0.6649667093752204,3.079703789600798e-05,7.657348740624369e-05
