scan_seconds,controller,profiles,w_f_ticks,horizon_k_ticks,t_min_ticks,r_max_kw_per_tick,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,max_cpu_ms,mean_occupancy_pct,p95_occupancy_pct,max_occupancy_pct,mean_slack_ms,ramp95_kw_per_min,cap_violation_pct_total,throughput_kwh,lfp_cycle_loss_pct,flip_per_day
10,A1,8,30,60,18,3.333333333333333,0.08688177378762366,0.0805000017862767,0.11869997251778841,0.9315000206697732,0.0008688177378762365,0.001186999725177884,0.009315000206697732,9999.913118226212,49.749927936560766,3.427372685185185,20.287337211912117,0.002741306308792853,353.5
10,GR,8,30,60,18,3.333333333333333,0.009985162004913608,0.009000010322779417,0.014500023098662496,1.2173000141046941,9.985162004913608e-05,0.00014500023098662496,0.012173000141046941,9999.990014837995,50.300435095720076,3.7340856481481484,18.188570643739325,0.002447091652528825,417.375
10,Proposed,8,30,60,18,3.333333333333333,0.14428303389372055,0.13050000416114926,0.21729999571107328,1.9298999977763742,0.0014428303389372053,0.002172999957110733,0.019298999977763742,9999.855716966107,49.76411038223096,3.3608217592592595,20.567222220960012,0.002441520082877826,339.5
10,RS,8,30,60,18,3.333333333333333,0.023162876145424553,0.02069998299703002,0.04019998596049845,3.22839998989366,0.00023162876145424552,0.0004019998596049845,0.0322839998989366,9999.976837123855,35.34798581934297,10.19675925925926,127.86334687111098,0.009212141057004176,1275.875
30,A1,8,10,20,6,10.0,0.08663972233762252,0.0805000017862767,0.1202999847009778,0.9329999738838524,0.0002887990744587417,0.00040099994900325936,0.0031099999129461744,29999.913360277664,17.29101967111258,0.9635416666666667,10.208587254233642,0.0015167153302907115,133.0
30,GR,8,10,20,6,10.0,0.009965073699428709,0.009099981980398297,0.01489999849582091,0.1988999720197171,3.3216912331429034e-05,4.9666661652736366e-05,0.0006629999067323903,29999.9900349263,17.712988995992536,0.8159722222222223,10.977634143758024,0.0014726445379517003,152.375
30,Proposed,8,10,20,6,10.0,0.1339015190726261,0.12299997615627944,0.18859998235711828,4.695399984484538,0.00044633839690875365,0.000628666607857061,0.015651333281615127,29999.86609848093,17.297513398891216,0.9765625,10.535772495549184,0.0015082049749179929,129.375
30,RS,8,10,20,6,10.0,0.02395377170943094,0.020899984519928694,0.044199987314641476,0.5753999867010862,7.984590569810312e-05,0.0001473332910488049,0.0019179999556702871,29999.97604622829,3.8148249946771475,7.326388888888889,93.39151420536047,0.006537162368113403,849.75
60,A1,8,5,10,3,20.0,0.09912195304322166,0.08070000330917537,0.15682499943068215,87.0545000070706,0.0001652032550720361,0.00026137499905113694,0.14509083334511766,59999.90087804696,9.317549684518905,0.0,4.364904040242426,0.000478285028198737,38.25
60,GR,8,5,10,3,20.0,0.010719539980325661,0.009199982741847634,0.01960500230779864,0.2620999875944108,1.7865899967209435e-05,3.2675003846331065e-05,0.0004368333126573513,59999.98928046002,9.317549684518905,0.0,4.321279401968584,0.0004820402572361847,39.25
60,Proposed,8,5,10,3,20.0,0.1433020659836378,0.12139999307692051,0.24960500886663786,3.1149999995250255,0.0002388367766393963,0.00041600834811106313,0.005191666665875043,59999.85669793402,9.323152269934997,0.0,4.731062186988869,0.0004953038001694334,41.0
60,RS,8,5,10,3,20.0,0.02474398447702697,0.02090001362375915,0.048200017772614956,1.3109999999869615,4.1239974128378286e-05,8.033336295435826e-05,0.002184999999978269,59999.975256015525,3.1094626222417086,3.0208333333333335,76.7859832435405,0.00532546046874922,540.5
